n_trivially_balanced,n_trivial_pairs,n_concordance_modules,n_unbounded_pairs,validation_passed,concordance_tolerance,n_total_optimizations,n_other_error_pairs,n_balanced,n_numerical_error_pairs,balanced_threshold,cv_epsilon,n_metabolites,batch_size,n_concordant_inferred,sample_size,n_trivially_balanced_complexes,n_candidate_pairs,n_burnin,n_resource_limit_pairs,use_unidirectional_constraints,filename,batches_completed,elapsed_time,n_balanced_complexes,n_trivially_concordant,n_complexes,batch_results_concordant_count,model_name,use_transitivity,cv_threshold,n_balanced_total,n_concordant_found,n_infeasible_pairs,n_workers,n_non_concordant_pairs,n_timeout_pairs,n_infeasible_or_unbounded_pairs,objective_bound,n_candidates_skipped_by_transitivity,min_valid_samples,n_concordant_opt,n_reactions,seed,n_chains,n_concordant_total,id,old_species_id,Species name,Common synonym,Major clade,Family,Genus,Strain sequenced,NRRL,CBS,JCM,Other collection/strain ID,Genome accession,Resouce,Strain status,Type species,No. contigs/scaffolds,No. genes,Coverage,Assembly size,N50,GC%,Heterozygosity,CUG usage,BUSCO Complete,BUSCO Duplicated,BUSCO Fragmented,BUSCO Missing,Reference,Note
99,700,491,0,True,0.01,3140,21,101,0,1e-08,1e-16,1468,100000,6045,1000,99,1417,50,0,False,kinetic_results_Botrytis_cinerea_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,140.7203528881073,101,700,3915,615,Botrytis_cinerea,True,0.01,101,5960,0,63,802,0,0,none,59,10,615,3478,42,1,6660,,Botrytis_cinerea,Botrytis cinerea,,Outgroup,Outgroup,Outgroup,,,,,,,,,,,,,,,,,,1564.0,8.0,113.0,74.0,"Amselem J, et al. Genomic analysis of the necrotrophic fungal pathogens Sclerotinia sclerotiorum and Botrytis cinerea. PLoS Genet, (2011)",
105,723,490,0,True,0.01,3628,16,106,0,1e-08,1e-16,1491,100000,6246,1000,105,1693,50,0,False,kinetic_results_Brettanomyces_anomalus_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,145.37705516815186,106,723,3909,679,Brettanomyces_anomalus,True,0.01,106,6202,0,63,1014,0,0,none,86,10,679,3399,42,1,6925,63.0,Brettanomyces_anomalus,Brettanomyces anomalus,Dekkera anomala,Pichiaceae,Pichiaceae,Brettanomyces,YV396,,,,YV396,NCBI,Public,Reference,No,30.0,5423.0,Unknown,12880761.0,1112461.0,39.81,Unknown,Leu,1568.0,9.0,109.0,73.0,"Vervoort Y, et al. Characterization of the recombinant Brettanomyces anomalus β-glucosidase and its potential for bioflavouring. J Appl Microbiol. 2016 Jun 9; ",
108,794,597,0,True,0.01,4814,33,109,0,1e-08,1e-16,1637,100000,6981,1000,108,2136,50,0,False,kinetic_results_Candida_albicans_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,176.84841084480286,109,794,4397,837,Candida_albicans,True,0.01,109,7024,1,63,1299,0,0,none,53,10,837,3778,42,1,7818,123.0,Candida_albicans,Candida albicans,,CUG-Ser1,Debaryomycetaceae,Candida,SC5314,,,,SC5314,Genolevures,Public,Reference,No,9.0,6226.0,Unknown,14323546.0,2231927.0,33.45,Unknown,Ser,1703.0,8.0,28.0,20.0,"Jones T, et al. The diploid genome sequence of Candida albicans. Proc Natl Acad Sci USA 2004,101:7329-7334.",
93,698,506,0,True,0.01,3730,21,98,0,1e-08,1e-16,1401,100000,5474,1000,93,1685,50,0,False,kinetic_results_Candida_apicola_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,135.1701579093933,98,698,3787,607,Candida_apicola,True,0.01,98,5383,0,63,1078,0,0,none,96,10,607,3298,42,1,6081,17.0,Candida_apicola,Starmerella apicola,Candida apicola,Dipodascaceae/Trichomonascaceae,Dipodascaceae,Candida,NRRL Y-50540,Y-50540,,,,NCBI,Public,Type,No,40.0,4833.0,Unknown,9769876.0,773945.0,45.23,Unknown,Leu,1374.0,7.0,143.0,235.0,"Vega-Alvarado L, et al. High-Quality Draft Genome Sequence of Candida apicola NRRL Y-50540. Genome Announc 3, (2015).",
105,812,545,0,True,0.01,4748,27,107,0,1e-08,1e-16,1621,100000,7351,1000,105,2200,50,0,False,kinetic_results_Candida_arabinofermentans_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,203.55448412895203,107,812,4328,892,Candida_arabinofermentans,True,0.01,107,7431,0,63,1308,0,0,none,60,10,892,3706,42,1,8243,64.0,Candida_arabinofermentans,Candida arabinofermentans,,Pichiaceae,Pichiaceae,Candida,NRRL YB-2248,YB-2248,8468.0,10727.0,,JGI,Public,Type,No,62.0,5674.0,Unknown,13234078.0,701640.0,34.74,Unknown,Leu,1627.0,9.0,73.0,50.0,"Riley R, et al. Comparative genomics of biotechnologically important yeasts. Proc Natl Acad Sci USA 113:9882-7 (2016).",
98,784,553,0,True,0.01,4526,36,99,0,1e-08,1e-16,1579,100000,6977,1000,98,2059,50,0,False,kinetic_results_Candida_auris_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,169.3062880039215,99,784,4237,827,Candida_auris,True,0.01,99,7020,0,63,1232,0,0,none,61,10,827,3648,42,1,7804,124.0,Candida_auris,Candida auris,,CUG-Ser1,Metschnikowiaceae,Candida,Ci 6684,,,,Ci 6684,NCBI,Public,Reference,No,99.0,5207.0,Unknown,12498763.0,267017.0,45.13,Unknown,Ser,1660.0,6.0,69.0,24.0,"Chatterjee S, et al. Draft genome of a commonly misdiagnosed multidrug resistant pathogen Candida auris. BMC Genomics 16, 686 (2015).",
107,760,569,0,True,0.01,4180,19,108,0,1e-08,1e-16,1548,100000,6563,1000,107,1851,50,0,False,kinetic_results_Candida_boidinii_JCM9604_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,154.44693207740784,108,760,4047,840,Candida_boidinii_JCM9604,True,0.01,108,6643,0,63,1011,0,0,none,69,10,840,3545,42,1,7403,65.0,Candida_boidinii_JCM9604,Candida boidinii,,Pichiaceae,Pichiaceae,Candida,JCM 9604,Y-2332,2428.0,9604.0,,GCA_001599335.1,NBRP/RIKEN,Type,No,32.0,6029.0,See Supplementary Methods,19377211.0,3291297.0,30.77,Unknown,Leu,1645.0,13.0,54.0,47.0,This study,
104,725,536,0,True,0.01,4146,49,116,0,1e-08,1e-16,1485,100000,6101,1000,104,1795,50,0,False,kinetic_results_Candida_carpophila_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,172.60610604286194,116,725,3885,779,Candida_carpophila,True,0.01,116,6155,0,63,1016,0,0,none,58,10,779,3432,42,1,6880,125.0,Candida_carpophila,Candida carpophila,,CUG-Ser1,Debaryomycetaceae,Candida,JCM 9396,Y-17857,7921.0,9396.0,,GCA_001599235.1,NBRP/RIKEN,Reference,No,10.0,4920.0,See Supplementary Methods,10242926.0,1643132.0,47.44,Unknown,Ser,1714.0,5.0,34.0,6.0,This study,
104,752,518,0,True,0.01,5926,47,108,0,1e-08,1e-16,1568,100000,7231,1000,104,2684,50,0,False,kinetic_results_Candida_dubliniensis_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,171.89141392707825,108,752,4234,800,Candida_dubliniensis,True,0.01,108,7279,0,63,1884,0,0,none,107,10,800,3655,42,1,8031,126.0,Candida_dubliniensis,Candida dubliniensis,,CUG-Ser1,Debaryomycetaceae,Candida,CD36,,,,CD36,NCBI,Public,Reference,No,8.0,5949.0,Unknown,14618422.0,2267510.0,33.25,Unknown,Ser,1724.0,8.0,19.0,8.0,"Jackson AP, et al. Comparative genomics of the fungal pathogens Candida dubliniensis and Candida albicans. Genome Res. 19, 2231–2244 (2009).",
112,795,495,0,True,0.01,4230,34,120,0,1e-08,1e-16,1631,100000,6610,1000,112,2040,50,0,False,kinetic_results_Candida_glabrata_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,169.59254693984985,120,795,4358,797,Candida_glabrata,True,0.01,120,6612,0,63,1243,0,0,none,55,10,797,3749,42,1,7407,263.0,Candida_glabrata,Candida glabrata,,Saccharomycetaceae,Saccharomycetaceae,Candida,CBS 138,Y-65,138.0,3761.0,,Genolevures,Public,Type,No,13.0,5143.0,Unknown,12318245.0,1100349.0,38.65,Unknown,Leu,1657.0,56.0,27.0,19.0,"Dujon B, et al. Genome evolution in yeasts. Nature. 2004 Jul 1;430(6995):35–44.",
108,804,580,0,True,0.01,4976,31,109,0,1e-08,1e-16,1640,100000,6698,1000,108,2226,50,0,False,kinetic_results_Candida_homilentoma_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,211.6832799911499,109,804,4384,821,Candida_homilentoma,True,0.01,109,6715,0,63,1405,0,0,none,54,10,821,3766,42,1,7519,127.0,Candida_homilentoma,Hyphopichia homilentoma,Candida homilentoma,CUG-Ser1,Debaryomycetaceae,Hyphopichia,JCM 1507,Y-10941,6312.0,1507.0,,GCA_001599095.1,NBRP/RIKEN,Type,No,8.0,5435.0,See Supplementary Methods,12176763.0,1810771.0,49.52,Unknown,Ser,1702.0,4.0,48.0,5.0,This study,
86,689,570,0,True,0.01,4016,7,91,0,1e-08,1e-16,1407,100000,6236,1000,86,1650,50,0,False,kinetic_results_Candida_infanticola_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,141.82874202728271,91,689,3808,695,Candida_infanticola,True,0.01,91,6242,0,63,955,0,0,none,72,10,695,3348,42,1,6931,18.0,Candida_infanticola,Wickerhamiella infanticola,Candida infanticola,Dipodascaceae/Trichomonascaceae,Dipodascaceae,Wickerhamiella,DS02,,,,DS02,NCBI,Public,Reference,No,22.0,4489.0,Unknown,8152740.0,2571092.0,48.32,Unknown,Leu,1477.0,10.0,147.0,125.0,"Lee H, et al. Genbank Accession IDs: LWLF01000001-LWLF01000022 (2016).",
106,812,628,0,True,0.01,5550,39,107,0,1e-08,1e-16,1644,100000,6848,1000,106,2432,50,0,False,kinetic_results_Candida_intermedia_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,139.77964186668396,107,812,4396,914,Candida_intermedia,True,0.01,107,6950,0,63,1518,0,0,none,112,10,914,3785,42,1,7762,128.0,Candida_intermedia,Candida intermedia,,CUG-Ser1,Metschnikowiaceae,Candida,JCM 1607,Y-981,572.0,1607.0,,GCA_001599135.1,NBRP/RIKEN,Type,No,12.0,5533.0,See Supplementary Methods,13027022.0,2029102.0,43.48,Unknown,Ser,1695.0,8.0,42.0,14.0,This study,
106,789,593,0,True,0.01,5344,20,106,0,1e-08,1e-16,1579,100000,7498,1000,106,2316,50,0,False,kinetic_results_Candida_orthopsilosis_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,162.79978895187378,106,789,4101,1052,Candida_orthopsilosis,True,0.01,106,7761,0,63,1264,0,0,none,104,10,1052,3589,42,1,8550,129.0,Candida_orthopsilosis,Candida orthopsilosis,,CUG-Ser1,Debaryomycetaceae,Candida,90–125,,,,90–125,NCBI,Public,Reference,No,8.0,5212.0,Unknown,12659401.0,1644167.0,37.46,Unknown,Ser,1701.0,5.0,31.0,22.0,"Riccombeni A, et al. Sequence and analysis of the genome of the pathogenic yeast Candida orthopsilosis. PLoS ONE 7, e35750 (2012).",
105,807,576,0,True,0.01,5388,39,106,0,1e-08,1e-16,1634,100000,7049,1000,105,2460,50,0,False,kinetic_results_Candida_parapsilosis_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,178.89340496063232,106,807,4341,777,Candida_parapsilosis,True,0.01,106,7019,0,63,1683,0,0,none,106,10,777,3748,42,1,7826,130.0,Candida_parapsilosis,Candida parapsilosis,,CUG-Ser1,Debaryomycetaceae,Candida,CDC 317,,,,CDC 317,Genolevures,Public,Reference,No,8.0,5280.0,Unknown,12998393.0,2091826.0,38.72,Unknown,Ser,1707.0,11.0,26.0,15.0,"Butler G, et al. Evolution of pathogenicity and sexual reproduction in eight Candida genomes. Nature 459, 657–662 (2009).",
106,654,433,0,True,0.01,6712,27,116,0,1e-08,1e-16,1393,100000,8247,1000,106,3150,50,0,False,kinetic_results_Candida_sojae_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,146.22545385360718,116,654,3769,1356,Candida_sojae,True,0.01,116,8949,0,63,1794,0,0,none,66,10,1356,3255,42,1,9603,131.0,Candida_sojae,Candida sojae,,CUG-Ser1,Debaryomycetaceae,Candida,GF41,,,,GF41,NCBI,Public,Reference,No,511.0,5083.0,Unknown,11747307.0,56392.0,32.37,Unknown,Ser,1363.0,46.0,30.0,320.0,"Borelli G, et al. De Novo Assembly of Candida sojae and Candida boidinii Genomes, Unexplored Xylose-Consuming Yeasts with Potential for Renewable Biochemical Production. Genome Announc. 2016;4(1). ",
104,652,436,0,True,0.01,2832,29,110,0,1e-08,1e-16,1333,100000,6114,1000,104,1323,50,0,False,kinetic_results_Candida_sorboxylosa_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,141.8665280342102,110,652,3478,522,Candida_sorboxylosa,True,0.01,110,5984,0,63,801,0,0,none,60,10,522,3084,42,1,6636,66.0,Candida_sorboxylosa,Candida sorboxylosa,,Pichiaceae,Saccharomycetales incertae sedis,Candida,JCM 1536,Y-17669,6378.0,1536.0,,GCA_001599115.1,NBRP/RIKEN,Type,No,37.0,4456.0,See Supplementary Methods,10714862.0,1238071.0,39.76,Unknown,Leu,1446.0,1.0,116.0,196.0,This study,
95,690,455,0,True,0.01,3180,24,96,0,1e-08,1e-16,1416,100000,6265,1000,95,1475,50,0,False,kinetic_results_Candida_succiphila_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,133.52974390983582,96,690,3762,596,Candida_succiphila,True,0.01,96,6171,0,63,879,0,0,none,94,10,596,3331,42,1,6861,67.0,Candida_succiphila,Candida succiphila,,Pichiaceae,Pichiaceae,Candida,JCM 9445,Y-11998,8003.0,9445.0,,GCA_001599255.1,NBRP/RIKEN,Type,No,22.0,5254.0,See Supplementary Methods,12149879.0,1360171.0,41.12,Unknown,Leu,1624.0,5.0,82.0,48.0,This study,
110,791,600,0,True,0.01,4966,38,114,0,1e-08,1e-16,1614,100000,6928,1000,110,2151,50,0,False,kinetic_results_Candida_tanzawaensis_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,170.65447807312012,114,791,4312,896,Candida_tanzawaensis,True,0.01,114,7033,0,63,1255,0,0,none,104,10,896,3729,42,1,7824,132.0,Candida_tanzawaensis,Suhomyces tanzawaensis,,CUG-Ser1,Debaryomycetaceae,Suhomyces,NRRL Y-17324,Y-17324,7422.0,1648.0,,JGI,Public,Type,Yes,16.0,5321.0,Unknown,13136204.0,1512535.0,45.34,Unknown,Ser,1719.0,5.0,31.0,4.0,"Riley R, et al. Comparative genomics of biotechnologically important yeasts. Proc Natl Acad Sci USA 113:9882-7 (2016).",
102,686,475,0,True,0.01,3672,28,106,0,1e-08,1e-16,1436,100000,6432,1000,102,1659,50,0,False,kinetic_results_Candida_tenuis_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,138.171471118927,106,686,3771,705,Candida_tenuis,True,0.01,106,6451,0,63,954,0,0,none,55,10,705,3324,42,1,7137,133.0,Candida_tenuis,Yamadazyma tenuis,Candida tenuis,CUG-Ser1,Debaryomycetaceae,Yamadazyma,NRRL Y-1498,Y-1498,615.0,9827.0,,JGI,Public,Type,No,25.0,4945.0,Unknown,10747050.0,1222892.0,42.92,Unknown,Ser,1681.0,8.0,58.0,12.0,"Wohlbach DJ, et al. Comparative genomics of xylose-fermenting fungi for enhanced biofuel production. Proc. Natl. Acad. Sci. U.S.A. 108, 13212–13217 (2011).",
102,731,561,0,True,0.01,4408,31,106,0,1e-08,1e-16,1469,100000,6522,1000,102,1940,50,0,False,kinetic_results_Candida_tropicalis_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,143.38401985168457,106,731,3842,729,Candida_tropicalis,True,0.01,106,6520,0,63,1211,0,0,none,56,10,729,3368,42,1,7251,134.0,Candida_tropicalis,Candida tropicalis,,CUG-Ser1,Debaryomycetaceae,Candida,MYA-3404,,,,MYA-3404,NCBI,Public,Reference,Yes,24.0,5975.0,Unknown,14630139.0,1654078.0,33.15,Unknown,Ser,1678.0,23.0,35.0,23.0,"Butler G, et al. Evolution of pathogenicity and sexual reproduction in eight Candida genomes. Nature 459, 657–662 (2009).",
98,680,487,0,True,0.01,3848,16,102,0,1e-08,1e-16,1387,100000,6261,1000,98,1717,50,0,False,kinetic_results_Candida_versatilis_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,154.63677287101746,102,680,3672,564,Candida_versatilis,True,0.01,102,6145,1,63,1153,0,0,none,101,10,564,3231,42,1,6825,19.0,Candida_versatilis,Wickerhamiella versatilis,Candida versatilis,Dipodascaceae/Trichomonascaceae,Dipodascaceae,Wickerhamiella,JCM 5958,,7511.0,5958.0,,GCA_001600375.1,NBRP/RIKEN,Reference,No,19.0,5476.0,See Supplementary Methods,9313034.0,2231275.0,45.04,Unknown,Leu,1437.0,7.0,158.0,157.0,This study,
104,775,566,0,True,0.01,4548,29,108,0,1e-08,1e-16,1568,100000,6855,1000,104,2025,50,0,False,kinetic_results_Clavispora_lusitaniae_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,163.74089908599854,108,775,4104,883,Clavispora_lusitaniae,True,0.01,108,6963,0,63,1142,0,0,none,64,10,883,3585,42,1,7738,135.0,Clavispora_lusitaniae,Clavispora lusitaniae,,CUG-Ser1,Metschnikowiaceae,Clavispora,ATCC 42720,,,,ATCC 42720,NCBI,Public,Reference,Yes,9.0,5149.0,Unknown,12114892.0,1874050.0,44.5,Unknown,Ser,1664.0,10.0,66.0,19.0,"Butler G, et al. Evolution of pathogenicity and sexual reproduction in eight Candida genomes. Nature 459, 657–662 (2009).",
97,684,555,0,True,0.01,4060,17,98,0,1e-08,1e-16,1421,100000,6197,1000,97,1651,50,0,False,kinetic_results_Coccidioides_immitis_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,138.40668487548828,98,684,3799,656,Coccidioides_immitis,True,0.01,98,6169,0,63,995,0,0,none,57,10,656,3369,42,1,6853,,Coccidioides_immitis,Coccidioides immitis,,Outgroup,Outgroup,Outgroup,,,,,,,,,,,,,,,,,,1731.0,1.0,16.0,11.0,"Sharpton TJ, et al. Comparative genomic analyses of the human fungal pathogens Coccidioides and their relatives. Genome Res, (2009)",
97,715,605,0,True,0.01,4610,27,101,0,1e-08,1e-16,1530,100000,6255,1000,97,1902,50,0,False,kinetic_results_Cyberlindnera_fabianii_JCM3601_42_100000_cv0p01_samples1000_transitivitytrue_tol_10.jld2,1,159.82123279571533,101,715,4187,840,Cyberlindnera_fabianii_JCM3601,True,0.01,101,6380,0,63,1062,0,0,none,74,10,840,3648,42,1,7095,220.0,Cyberlindnera_fabianii_JCM3601,Cyberlindnera fabianii,,Phaffomycetaceae,Phaffomycetaceae,Cyberlindnera,JCM 3601,Y-1871,5640.0,3601.0,,GCA_001599195.1,NBRP/RIKEN,Type,No,12.0,5752.0,See Supplementary Methods,12303847.0,1964508.0,44.49,Unknown,Leu,1692.0,7.0,43.0,17.0,This study,
